I0723 03:32:00.727203       1 cache_metrics.go:337] Cannot find num_requests_running in the metric list, engine type xllm
I0723 03:32:01.051811       1 cache_metrics.go:337] Cannot find iteration_tokens_total in the metric list, engine type xllm
I0723 03:32:01.051813       1 cache_metrics.go:209] Cannot find iteration_tokens_total in the pod metrics
I0723 03:32:01.051816       1 cache_metrics.go:337] Cannot find time_to_first_token_seconds in the metric list, engine type xllm
I0723 03:32:01.051819       1 cache_metrics.go:209] Cannot find time_to_first_token_seconds in the pod metrics
I0723 03:32:01.051822       1 cache_metrics.go:337] Cannot find time_per_output_token_seconds in the metric list, engine type xllm
I0723 03:32:01.051825       1 cache_metrics.go:209] Cannot find time_per_output_token_seconds in the pod metrics
I0723 03:32:01.051828       1 cache_metrics.go:337] Cannot find e2e_request_latency_seconds in the metric list, engine type xllm
I0723 03:32:01.051830       1 cache_metrics.go:209] Cannot find e2e_request_latency_seconds in the pod metrics
I0723 03:32:01.051832       1 cache_metrics.go:337] Cannot find request_queue_time_seconds in the metric list, engine type xllm
I0723 03:32:01.051834       1 cache_metrics.go:209] Cannot find request_queue_time_seconds in the pod metrics
I0723 03:32:01.051837       1 cache_metrics.go:337] Cannot find request_inference_time_seconds in the metric list, engine type xllm
I0723 03:32:01.051839       1 cache_metrics.go:209] Cannot find request_inference_time_seconds in the pod metrics
I0723 03:32:01.051841       1 cache_metrics.go:337] Cannot find request_decode_time_seconds in the metric list, engine type xllm
I0723 03:32:01.051843       1 cache_metrics.go:209] Cannot find request_decode_time_seconds in the pod metrics
I0723 03:32:01.051845       1 cache_metrics.go:337] Cannot find request_prefill_time_seconds in the metric list, engine type xllm
I0723 03:32:01.051847       1 cache_metrics.go:209] Cannot find request_prefill_time_seconds in the pod metrics
I0723 03:32:01.051851       1 cache_metrics.go:327] Cannot find lora_requests_info in the metric list
I0723 03:32:01.051853       1 cache_metrics.go:249] Cannot find lora_requests_info in the pod metrics
I0723 03:32:01.051855       1 cache_metrics.go:327] Cannot find lora_requests_info in the metric list
I0723 03:32:01.051857       1 cache_metrics.go:249] Cannot find lora_requests_info in the pod metrics
I0723 03:32:01.051860       1 cache_metrics.go:327] Cannot find lora_requests_info in the metric list
I0723 03:32:01.051861       1 cache_metrics.go:249] Cannot find lora_requests_info in the pod metrics
I0723 03:32:01.051867       1 cache_metrics.go:154] "Prometheus api is not initialized, PROMETHEUS_ENDPOINT is not configured, skip fetching prometheus metrics"
I0723 03:32:01.051967       1 cache_log.go:37] pod: deepseek-r1-f46d77457-bbzh6, podIP: 192.168.0.5, models: deepseek-r1
I0723 03:32:01.051989       1 cache_log.go:39] deepseek-r1-f46d77457-bbzh6_realtime_num_requests_running_&{0}
I0723 03:32:01.052007       1 cache_log.go:37] pod: deepseek-r1-f46d77457-pqk8c, podIP: 192.168.0.4, models: deepseek-r1
I0723 03:32:01.052013       1 cache_log.go:54] model: deepseek-r1, pods: deepseek-r1-f46d77457-bbzh6 deepseek-r1-f46d77457-pqk8c 
I0723 03:32:01.052017       1 cache_log.go:37] pod: deepseek-r1-f46d77457-bbzh6, podIP: 192.168.0.5, models: deepseek-r1
I0723 03:32:01.052021       1 cache_log.go:39] deepseek-r1-f46d77457-bbzh6_realtime_num_requests_running_&{0}
I0723 03:32:01.052024       1 cache_log.go:37] pod: deepseek-r1-f46d77457-pqk8c, podIP: 192.168.0.4, models: deepseek-r1
I0723 03:32:01.052027       1 cache_log.go:54] model: deepseek-r1, pods: deepseek-r1-f46d77457-bbzh6 deepseek-r1-f46d77457-pqk8c 
I0723 03:32:01.061726       1 cache_metrics.go:337] Cannot find num_requests_running in the metric list, engine type xllm
I0723 03:32:01.061764       1 cache_metrics.go:175] Cannot find num_requests_running in the pod metrics
I0723 03:32:01.061769       1 cache_metrics.go:337] Cannot find num_requests_waiting in the metric list, engine type xllm
I0723 03:32:01.061772       1 cache_metrics.go:175] Cannot find num_requests_waiting in the pod metrics
I0723 03:32:01.061776       1 cache_metrics.go:337] Cannot find num_requests_swapped in the metric list, engine type xllm
I0723 03:32:01.061779       1 cache_metrics.go:175] Cannot find num_requests_swapped in the pod metrics
I0723 03:32:01.061782       1 cache_metrics.go:337] Cannot find avg_prompt_throughput_toks_per_s in the metric list, engine type xllm
I0723 03:32:01.061789       1 cache_metrics.go:175] Cannot find avg_prompt_throughput_toks_per_s in the pod metrics
I0723 03:32:01.061792       1 cache_metrics.go:337] Cannot find avg_generation_throughput_toks_per_s in the metric list, engine type xllm
I0723 03:32:01.061794       1 cache_metrics.go:175] Cannot find avg_generation_throughput_toks_per_s in the pod metrics
I0723 03:32:01.061804       1 cache_metrics.go:190] Failed to update metrics gpu_cache_usage_perc from pod deepseek-r1-f46d77457-pqk8c 192.168.0.4 8080: modelName should not be empty for scope PodModel
I0723 03:32:01.061810       1 cache_metrics.go:337] Cannot find cpu_cache_usage_perc in the metric list, engine type xllm
I0723 03:32:01.061813       1 cache_metrics.go:175] Cannot find cpu_cache_usage_perc in the pod metrics
I0723 03:32:01.061818       1 cache_metrics.go:190] Failed to update metrics gpu_busy_time_ratio from pod deepseek-r1-f46d77457-pqk8c 192.168.0.4 8080: modelName should not be empty for scope PodModel
I0723 03:32:01.061822       1 cache_metrics.go:337] Cannot find iteration_tokens_total in the metric list, engine type xllm
I0723 03:32:01.061825       1 cache_metrics.go:209] Cannot find iteration_tokens_total in the pod metrics
I0723 03:32:01.061829       1 cache_metrics.go:337] Cannot find time_to_first_token_seconds in the metric list, engine type xllm
I0723 03:32:01.061833       1 cache_metrics.go:209] Cannot find time_to_first_token_seconds in the pod metrics
I0723 03:32:01.061839       1 cache_metrics.go:337] Cannot find time_per_output_token_seconds in the metric list, engine type xllm
I0723 03:32:01.061841       1 cache_metrics.go:209] Cannot find time_per_output_token_seconds in the pod metrics
I0723 03:32:01.061844       1 cache_metrics.go:337] Cannot find e2e_request_latency_seconds in the metric list, engine type xllm
I0723 03:32:01.061848       1 cache_metrics.go:209] Cannot find e2e_request_latency_seconds in the pod metrics
I0723 03:32:01.061851       1 cache_metrics.go:337] Cannot find request_queue_time_seconds in the metric list, engine type xllm
I0723 03:32:01.061853       1 cache_metrics.go:209] Cannot find request_queue_time_seconds in the pod metrics
I0723 03:32:01.061856       1 cache_metrics.go:337] Cannot find request_inference_time_seconds in the metric list, engine type xllm
I0723 03:32:01.061859       1 cache_metrics.go:209] Cannot find request_inference_time_seconds in the pod metrics
I0723 03:32:01.061862       1 cache_metrics.go:337] Cannot find request_decode_time_seconds in the metric list, engine type xllm
I0723 03:32:01.061864       1 cache_metrics.go:209] Cannot find request_decode_time_seconds in the pod metrics
I0723 03:32:01.061867       1 cache_metrics.go:337] Cannot find request_prefill_time_seconds in the metric list, engine type xllm
I0723 03:32:01.061870       1 cache_metrics.go:209] Cannot find request_prefill_time_seconds in the pod metrics
I0723 03:32:01.061875       1 cache_metrics.go:327] Cannot find lora_requests_info in the metric list
I0723 03:32:01.061879       1 cache_metrics.go:249] Cannot find lora_requests_info in the pod metrics
I0723 03:32:01.061883       1 cache_metrics.go:327] Cannot find lora_requests_info in the metric list
I0723 03:32:01.061887       1 cache_metrics.go:249] Cannot find lora_requests_info in the pod metrics
I0723 03:32:01.061891       1 cache_metrics.go:327] Cannot find lora_requests_info in the metric list
I0723 03:32:01.061893       1 cache_metrics.go:249] Cannot find lora_requests_info in the pod metrics
I0723 03:32:01.061900       1 cache_metrics.go:154] "Prometheus api is not initialized, PROMETHEUS_ENDPOINT is not configured, skip fetching prometheus metrics"
I0723 03:32:01.150308       1 cache_metrics.go:337] Cannot find num_requests_running in the metric list, engine type xllm
I0723 03:32:01.150328       1 cache_metrics.go:175] Cannot find num_requests_running in the pod metrics
I0723 03:32:01.150332       1 cache_metrics.go:337] Cannot find num_requests_waiting in the metric list, engine type xllm
I0723 03:32:01.150335       1 cache_metrics.go:175] Cannot find num_requests_waiting in the pod metrics
I0723 03:32:01.150338       1 cache_metrics.go:337] Cannot find num_requests_swapped in the metric list, engine type xllm
I0723 03:32:01.150344       1 cache_metrics.go:175] Cannot find num_requests_swapped in the pod metrics
I0723 03:32:01.150348       1 cache_metrics.go:337] Cannot find avg_prompt_throughput_toks_per_s in the metric list, engine type xllm
I0723 03:32:01.150352       1 cache_metrics.go:175] Cannot find avg_prompt_throughput_toks_per_s in the pod metrics
I0723 03:32:01.150355       1 cache_metrics.go:337] Cannot find avg_generation_throughput_toks_per_s in the metric list, engine type xllm
I0723 03:32:01.150357       1 cache_metrics.go:175] Cannot find avg_generation_throughput_toks_per_s in the pod metrics
I0723 03:32:01.150364       1 cache_metrics.go:190] Failed to update metrics gpu_cache_usage_perc from pod deepseek-r1-f46d77457-pqk8c 192.168.0.4 8080: modelName should not be empty for scope PodModel
I0723 03:32:01.150370       1 cache_metrics.go:337] Cannot find cpu_cache_usage_perc in the metric list, engine type xllm
I0723 03:32:01.150372       1 cache_metrics.go:175] Cannot find cpu_cache_usage_perc in the pod metrics
I0723 03:32:01.150376       1 cache_metrics.go:190] Failed to update metrics gpu_busy_time_ratio from pod deepseek-r1-f46d77457-pqk8c 192.168.0.4 8080: modelName should not be empty for scope PodModel
I0723 03:32:01.150384       1 cache_metrics.go:337] Cannot find iteration_tokens_total in the metric list, engine type xllm
I0723 03:32:01.150386       1 cache_metrics.go:209] Cannot find iteration_tokens_total in the pod metrics
I0723 03:32:01.150389       1 cache_metrics.go:337] Cannot find time_to_first_token_seconds in the metric list, engine type xllm
I0723 03:32:01.150391       1 cache_metrics.go:209] Cannot find time_to_first_token_seconds in the pod metrics
I0723 03:32:01.150394       1 cache_metrics.go:337] Cannot find time_per_output_token_seconds in the metric list, engine type xllm
I0723 03:32:01.150398       1 cache_metrics.go:209] Cannot find time_per_output_token_seconds in the pod metrics
I0723 03:32:01.150400       1 cache_metrics.go:337] Cannot find e2e_request_latency_seconds in the metric list, engine type xllm
I0723 03:32:01.150402       1 cache_metrics.go:209] Cannot find e2e_request_latency_seconds in the pod metrics
I0723 03:32:01.150404       1 cache_metrics.go:337] Cannot find request_queue_time_seconds in the metric list, engine type xllm
I0723 03:32:01.150407       1 cache_metrics.go:209] Cannot find request_queue_time_seconds in the pod metrics
I0723 03:32:01.150410       1 cache_metrics.go:337] Cannot find request_inference_time_seconds in the metric list, engine type xllm
I0723 03:32:01.150415       1 cache_metrics.go:209] Cannot find request_inference_time_seconds in the pod metrics
I0723 03:32:01.150417       1 cache_metrics.go:337] Cannot find request_decode_time_seconds in the metric list, engine type xllm
I0723 03:32:01.150419       1 cache_metrics.go:209] Cannot find request_decode_time_seconds in the pod metrics
I0723 03:32:01.150422       1 cache_metrics.go:337] Cannot find request_prefill_time_seconds in the metric list, engine type xllm
I0723 03:32:01.150424       1 cache_metrics.go:209] Cannot find request_prefill_time_seconds in the pod metrics
I0723 03:32:01.150428       1 cache_metrics.go:327] Cannot find lora_requests_info in the metric list
I0723 03:32:01.150431       1 cache_metrics.go:249] Cannot find lora_requests_info in the pod metrics
I0723 03:32:01.150437       1 cache_metrics.go:327] Cannot find lora_requests_info in the metric list
I0723 03:32:01.150439       1 cache_metrics.go:249] Cannot find lora_requests_info in the pod metrics
I0723 03:32:01.150442       1 cache_metrics.go:327] Cannot find lora_requests_info in the metric list
I0723 03:32:01.150444       1 cache_metrics.go:249] Cannot find lora_requests_info in the pod metrics
I0723 03:32:01.150450       1 cache_metrics.go:154] "Prometheus api is not initialized, PROMETHEUS_ENDPOINT is not configured, skip fetching prometheus metrics"
I0723 03:32:01.151467       1 cache_log.go:37] pod: deepseek-r1-f46d77457-bbzh6, podIP: 192.168.0.5, models: deepseek-r1
I0723 03:32:01.151475       1 cache_log.go:39] deepseek-r1-f46d77457-bbzh6_realtime_num_requests_running_&{0}
I0723 03:32:01.151492       1 cache_log.go:37] pod: deepseek-r1-f46d77457-pqk8c, podIP: 192.168.0.4, models: deepseek-r1
I0723 03:32:01.151497       1 cache_log.go:54] model: deepseek-r1, pods: deepseek-r1-f46d77457-bbzh6 deepseek-r1-f46d77457-pqk8c 
I0723 03:32:01.151501       1 cache_log.go:37] pod: deepseek-r1-f46d77457-bbzh6, podIP: 192.168.0.5, models: deepseek-r1
I0723 03:32:01.151508       1 cache_log.go:39] deepseek-r1-f46d77457-bbzh6_realtime_num_requests_running_&{0}
I0723 03:32:01.151512       1 cache_log.go:37] pod: deepseek-r1-f46d77457-pqk8c, podIP: 192.168.0.4, models: deepseek-r1
I0723 03:32:01.151516       1 cache_log.go:54] model: deepseek-r1, pods: deepseek-r1-f46d77457-bbzh6 deepseek-r1-f46d77457-pqk8c 
I0723 03:32:01.154427       1 cache_metrics.go:337] Cannot find num_requests_running in the metric list, engine type xllm
I0723 03:32:01.154447       1 cache_metrics.go:175] Cannot find num_requests_running in the pod metrics
I0723 03:32:01.154452       1 cache_metrics.go:337] Cannot find num_requests_waiting in the metric list, engine type xllm
I0723 03:32:01.154456       1 cache_metrics.go:175] Cannot find num_requests_waiting in the pod metrics
I0723 03:32:01.154460       1 cache_metrics.go:337] Cannot find num_requests_swapped in the metric list, engine type xllm
I0723 03:32:01.154463       1 cache_metrics.go:175] Cannot find num_requests_swapped in the pod metrics
I0723 03:32:01.154467       1 cache_metrics.go:337] Cannot find avg_prompt_throughput_toks_per_s in the metric list, engine type xllm
I0723 03:32:01.154472       1 cache_metrics.go:175] Cannot find avg_prompt_throughput_toks_per_s in the pod metrics
I0723 03:32:01.154475       1 cache_metrics.go:337] Cannot find avg_generation_throughput_toks_per_s in the metric list, engine type xllm
I0723 03:32:01.154477       1 cache_metrics.go:175] Cannot find avg_generation_throughput_toks_per_s in the pod metrics
I0723 03:32:01.154486       1 cache_metrics.go:190] Failed to update metrics gpu_cache_usage_perc from pod deepseek-r1-f46d77457-pqk8c 192.168.0.4 8080: modelName should not be empty for scope PodModel
I0723 03:32:01.154492       1 cache_metrics.go:337] Cannot find cpu_cache_usage_perc in the metric list, engine type xllm
I0723 03:32:01.154495       1 cache_metrics.go:175] Cannot find cpu_cache_usage_perc in the pod metrics
I0723 03:32:01.154499       1 cache_metrics.go:190] Failed to update metrics gpu_busy_time_ratio from pod deepseek-r1-f46d77457-pqk8c 192.168.0.4 8080: modelName should not be empty for scope PodModel
I0723 03:32:01.154504       1 cache_metrics.go:337] Cannot find iteration_tokens_total in the metric list, engine type xllm
I0723 03:32:01.154508       1 cache_metrics.go:209] Cannot find iteration_tokens_total in the pod metrics
I0723 03:32:01.154511       1 cache_metrics.go:337] Cannot find time_to_first_token_seconds in the metric list, engine type xllm
I0723 03:32:01.154515       1 cache_metrics.go:209] Cannot find time_to_first_token_seconds in the pod metrics
I0723 03:32:01.154518       1 cache_metrics.go:337] Cannot find time_per_output_token_seconds in the metric list, engine type xllm
I0723 03:32:01.154522       1 cache_metrics.go:209] Cannot find time_per_output_token_seconds in the pod metrics
I0723 03:32:01.154525       1 cache_metrics.go:337] Cannot find e2e_request_latency_seconds in the metric list, engine type xllm
I0723 03:32:01.154528       1 cache_metrics.go:209] Cannot find e2e_request_latency_seconds in the pod metrics
I0723 03:32:01.154531       1 cache_metrics.go:337] Cannot find request_queue_time_seconds in the metric list, engine type xllm
I0723 03:32:01.154534       1 cache_metrics.go:209] Cannot find request_queue_time_seconds in the pod metrics
I0723 03:32:01.154537       1 cache_metrics.go:337] Cannot find request_inference_time_seconds in the metric list, engine type xllm
I0723 03:32:01.154540       1 cache_metrics.go:209] Cannot find request_inference_time_seconds in the pod metrics
I0723 03:32:01.154543       1 cache_metrics.go:337] Cannot find request_decode_time_seconds in the metric list, engine type xllm
I0723 03:32:01.154545       1 cache_metrics.go:209] Cannot find request_decode_time_seconds in the pod metrics
I0723 03:32:01.154548       1 cache_metrics.go:337] Cannot find request_prefill_time_seconds in the metric list, engine type xllm
I0723 03:32:01.154550       1 cache_metrics.go:209] Cannot find request_prefill_time_seconds in the pod metrics
I0723 03:32:01.154554       1 cache_metrics.go:327] Cannot find lora_requests_info in the metric list
I0723 03:32:01.154556       1 cache_metrics.go:249] Cannot find lora_requests_info in the pod metrics
I0723 03:32:01.154560       1 cache_metrics.go:327] Cannot find lora_requests_info in the metric list
I0723 03:32:01.154563       1 cache_metrics.go:249] Cannot find lora_requests_info in the pod metrics
I0723 03:32:01.154569       1 cache_metrics.go:327] Cannot find lora_requests_info in the metric list
I0723 03:32:01.154573       1 cache_metrics.go:249] Cannot find lora_requests_info in the pod metrics
I0723 03:32:01.154582       1 cache_metrics.go:154] "Prometheus api is not initialized, PROMETHEUS_ENDPOINT is not configured, skip fetching prometheus metrics"
I0723 03:32:01.256720       1 cache_metrics.go:337] Cannot find num_requests_running in the metric list, engine type xllm
I0723 03:32:01.256734       1 cache_metrics.go:175] Cannot find num_requests_running in the pod metrics
I0723 03:32:01.256738       1 cache_metrics.go:337] Cannot find num_requests_waiting in the metric list, engine type xllm
I0723 03:32:01.256741       1 cache_metrics.go:175] Cannot find num_requests_waiting in the pod metrics
I0723 03:32:01.256746       1 cache_metrics.go:337] Cannot find num_requests_swapped in the metric list, engine type xllm
I0723 03:32:01.256748       1 cache_metrics.go:175] Cannot find num_requests_swapped in the pod metrics
I0723 03:32:01.256751       1 cache_metrics.go:337] Cannot find avg_prompt_throughput_toks_per_s in the metric list, engine type xllm
I0723 03:32:01.256753       1 cache_metrics.go:175] Cannot find avg_prompt_throughput_toks_per_s in the pod metrics
I0723 03:32:01.256756       1 cache_metrics.go:337] Cannot find avg_generation_throughput_toks_per_s in the metric list, engine type xllm
I0723 03:32:01.256758       1 cache_metrics.go:175] Cannot find avg_generation_throughput_toks_per_s in the pod metrics
I0723 03:32:01.256765       1 cache_metrics.go:190] Failed to update metrics gpu_cache_usage_perc from pod deepseek-r1-f46d77457-bbzh6 192.168.0.5 8080: modelName should not be empty for scope PodModel
I0723 03:32:01.256769       1 cache_metrics.go:337] Cannot find cpu_cache_usage_perc in the metric list, engine type xllm
I0723 03:32:01.256772       1 cache_metrics.go:175] Cannot find cpu_cache_usage_perc in the pod metrics
I0723 03:32:01.256775       1 cache_metrics.go:190] Failed to update metrics gpu_busy_time_ratio from pod deepseek-r1-f46d77457-bbzh6 192.168.0.5 8080: modelName should not be empty for scope PodModel
I0723 03:32:01.256779       1 cache_metrics.go:337] Cannot find iteration_tokens_total in the metric list, engine type xllm
I0723 03:32:01.256782       1 cache_metrics.go:209] Cannot find iteration_tokens_total in the pod metrics
I0723 03:32:01.256784       1 cache_metrics.go:337] Cannot find time_to_first_token_seconds in the metric list, engine type xllm
I0723 03:32:01.256787       1 cache_metrics.go:209] Cannot find time_to_first_token_seconds in the pod metrics
I0723 03:32:01.256789       1 cache_metrics.go:337] Cannot find time_per_output_token_seconds in the metric list, engine type xllm
I0723 03:32:01.256791       1 cache_metrics.go:209] Cannot find time_per_output_token_seconds in the pod metrics
I0723 03:32:01.256793       1 cache_metrics.go:337] Cannot find e2e_request_latency_seconds in the metric list, engine type xllm
I0723 03:32:01.256795       1 cache_metrics.go:209] Cannot find e2e_request_latency_seconds in the pod metrics
I0723 03:32:01.256797       1 cache_metrics.go:337] Cannot find request_queue_time_seconds in the metric list, engine type xllm
I0723 03:32:01.256799       1 cache_metrics.go:209] Cannot find request_queue_time_seconds in the pod metrics
I0723 03:32:01.256801       1 cache_metrics.go:337] Cannot find request_inference_time_seconds in the metric list, engine type xllm
I0723 03:32:01.256804       1 cache_metrics.go:209] Cannot find request_inference_time_seconds in the pod metrics
I0723 03:32:01.256806       1 cache_metrics.go:337] Cannot find request_decode_time_seconds in the metric list, engine type xllm
I0723 03:32:01.256808       1 cache_metrics.go:209] Cannot find request_decode_time_seconds in the pod metrics
I0723 03:32:01.256811       1 cache_metrics.go:337] Cannot find request_prefill_time_seconds in the metric list, engine type xllm
I0723 03:32:01.256813       1 cache_metrics.go:209] Cannot find request_prefill_time_seconds in the pod metrics
I0723 03:32:01.256816       1 cache_metrics.go:327] Cannot find lora_requests_info in the metric list
I0723 03:32:01.256819       1 cache_metrics.go:249] Cannot find lora_requests_info in the pod metrics
I0723 03:32:01.256822       1 cache_metrics.go:327] Cannot find lora_requests_info in the metric list
I0723 03:32:01.256824       1 cache_metrics.go:249] Cannot find lora_requests_info in the pod metrics
I0723 03:32:01.256826       1 cache_metrics.go:327] Cannot find lora_requests_info in the metric list
I0723 03:32:01.256828       1 cache_metrics.go:249] Cannot find lora_requests_info in the pod metrics
I0723 03:32:01.256833       1 cache_metrics.go:154] "Prometheus api is not initialized, PROMETHEUS_ENDPOINT is not configured, skip fetching prometheus metrics"
I0723 03:32:01.256904       1 cache_log.go:37] pod: deepseek-r1-f46d77457-bbzh6, podIP: 192.168.0.5, models: deepseek-r1
I0723 03:32:01.256909       1 cache_log.go:39] deepseek-r1-f46d77457-bbzh6_realtime_num_requests_running_&{0}
I0723 03:32:01.256915       1 cache_log.go:37] pod: deepseek-r1-f46d77457-pqk8c, podIP: 192.168.0.4, models: deepseek-r1
I0723 03:32:01.256919       1 cache_log.go:54] model: deepseek-r1, pods: deepseek-r1-f46d77457-bbzh6 deepseek-r1-f46d77457-pqk8c 
I0723 03:32:01.256922       1 cache_log.go:37] pod: deepseek-r1-f46d77457-bbzh6, podIP: 192.168.0.5, models: deepseek-r1
I0723 03:32:01.256924       1 cache_log.go:39] deepseek-r1-f46d77457-bbzh6_realtime_num_requests_running_&{0}
I0723 03:32:01.256927       1 cache_log.go:37] pod: deepseek-r1-f46d77457-pqk8c, podIP: 192.168.0.4, models: deepseek-r1
I0723 03:32:01.256930       1 cache_log.go:54] model: deepseek-r1, pods: deepseek-r1-f46d77457-bbzh6 deepseek-r1-f46d77457-pqk8c 
I0723 03:32:01.802378       1 cache_metrics.go:337] Cannot find num_requests_running in the metric list, engine type xllm
I0723 03:32:01.802393       1 cache_metrics.go:175] Cannot find num_requests_running in the pod metrics
I0723 03:32:01.802398       1 cache_metrics.go:337] Cannot find num_requests_waiting in the metric list, engine type xllm
I0723 03:32:01.802401       1 cache_metrics.go:175] Cannot find num_requests_waiting in the pod metrics
I0723 03:32:01.802403       1 cache_metrics.go:337] Cannot find num_requests_swapped in the metric list, engine type xllm
